Power Up, Probability
Legendary - 1 000 000 lumen, 0.40%
Legendary - 1 000 000 lumen, 0.40%
Legendary - Sticky Thicky Curse, 0.40%
Legendary - Pheeding Phrenzy, 0.40%
Legendary - Photon Phlyer, 0.40%
Epic - Chronostasis, 2.00%
Epic - Photon Reversifier Curse, 2.00%
Epic - Berserker Juice, 2.00%
Epic - Elias' Special Sauce, 2.00%
Rare - Photon Multiplier, 2.08%
Rare - Mega Photon Muncher, 2.08%
Rare - Generator Engine, 2.08%
Rare - Steel Boots Curse, 2.08%
Rare - Bullet Rain, 2.08%
Rare - Momentum Master, 2.08%
Rare - Oingo Boingo Curse, 2.08%
Rare - Brownian Motion Curse, 2.08%
Rare - Simple Trigonometry, 2.08%
Rare - Fake Jordans, 2.08%
Rare - Sketchy Pills, 2.08%
Rare - Sketchy Pills, 2.08%
Common - Photon Boost, 6.50%
Common - Health Boost, 6.50%
Common - Bunny Boost, 6.50%
Common - Photon Enlarger, 6.50%
Common - Photon Accelerator, 6.50%
Common - Gravitronizer, 6.50%
Common - Air Walker, 6.50%
Common - Wall Spider, 6.50%
Common - Fluorescent Burst, 6.50%
Common - Randomizer 5000, 6.50%
